bluearm_route,kind,prgIds,notes
/app/activity-logs,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/activity-logs/changes,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/after-sales,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/after-sales/register-repair,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/after-sales/register-repair/consumption,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/after-sales/register-repair/status,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/after-sales/repair-orders,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/after-sales/repair-orders/status,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/booking,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/booking/bookings,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/booking/calendar,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/booking/resources,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/booking/services,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/buying,mapped,E040305;E040306;E040307;E040309;E040310;E040313;E040318;E040319;E040714;E040722;E040724;E041015,
/app/buying/reports,mapped,E040305;E040306;E040307;E040309;E040310;E040313;E040318;E040319;E040714;E040722;E040724;E041015,
/app/comms,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/comms/inbox,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/comms/sent-documents,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/comms/settings,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/crm,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/crm/clients,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/crm/dashboard,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/crm/follow-up-tasks,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/crm/leads,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/crm/leads/dashboard,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/crm/notifications,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/crm/opportunities,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/crm/pipelines/quotations,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/crm/settings/alert-rules,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/crm/warranty-assets,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/dashboard,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/dashboard/approvals,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/data-center,mapped,C001401,
/app/data-center/inbox,mapped,C001401,
/app/data-center/ingestion-rules,mapped,C001401,
/app/documentation,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/finance,mapped,C000001;C000010;C000125;C000126;E010201;E010208;E010209;E010210;E010211;E010212;E010213;E010403,
/app/finance/acct-i/journal-entries,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/finance/acct-ii/checks,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/finance/budgets,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/finance/official-receipts,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/finance/payment-vouchers,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/finance/payables,mapped,C000126;E060502,New Payable Payment worklist + Payments Journal Apply
/app/finance/receivables,mapped,C000125;E060402,New Receivable Payment worklist + Receipts Journal Apply
/app/finance/reports,mapped,C000001;E010702;E010712;E010730;E010801;E010802;E010803;E010804;E010805;E010807;E010808;E010809,
/app/fixed-assets,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/hr,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/hr/absenteeism,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
/app/hr/attendance,orphan,,No coverage-matrix bluearm_route cover — Bluearm-only or needs Ecount map
