prgId,menu_label,menuSeq
831J3K25VPD4SA3,MyPage,831J3K25VPD4SA3
831J3K25W474SA4,Default Group,831J3K25W474SA4
C000001,Acct. I,MENUTREE_000001
C000004,Inv. I,MENUTREE_000004
C000005,Acct. II,MENUTREE_000005
C000007,GW,MENUTREE_000007
C000008,User Customization,MENUTREE_000008
C000009,Setup,MENUTREE_000009
C000010,Fast Entry,MENUTREE_000010
C000011,Invoice,MENUTREE_000011
C000012,Cash,MENUTREE_000012
C000013,Non-Cash Transaction,MENUTREE_000013
C000014,Notes,MENUTREE_000014
C000015,Fixed Assets,MENUTREE_000015
C000016,Accounting Transaction Mgmt,MENUTREE_000016
C000017,Reports,MENUTREE_000017
C000021,Budget,MENUTREE_000021
C000029,Setup,MENUTREE_000029
C000030,Sales,MENUTREE_000030
C000031,Purchases,MENUTREE_000031
C000032,Production,MENUTREE_000032
C000033,Inv. Mov.,MENUTREE_000033
C000035,Reports,MENUTREE_000035
C000036,Costing,MENUTREE_000036
C000037,Exps.,MENUTREE_000037
C000038,Share,MENUTREE_000038
C000039,e-Approval,MENUTREE_000039
C000040,Work,MENUTREE_000040
C000042,CRM,MENUTREE_000042
C000044,Project,MENUTREE_000044
C000046,Cash In,MENUTREE_000080
C000047,Cash Out,MENUTREE_000081
C000048,Other Transaction,MENUTREE_000082
C000049,Fixed Asset Reports,MENUTREE_000094
C000050,Management Resource,MENUTREE_000115
C000051,Book,MENUTREE_000116
C000052,Others,MENUTREE_000117
C000053,Reports,MENUTREE_000118
C000062,Reports,MENUTREE_000137
C000071,Quotation,MENUTREE_000184
C000072,Sales Order,MENUTREE_000185
C000073,Sales,MENUTREE_000186
C000075,Purchase Request,MENUTREE_000189
C000076,Purchase Plan,MENUTREE_000190
C000077,Purchase Order,MENUTREE_000191
C000078,Purchases,MENUTREE_000192
C000080,BOM,MENUTREE_000195
C000081,Job Order,MENUTREE_000196
C000082,Goods Issued,MENUTREE_000197
C000083,Goods Receipt,MENUTREE_000198
C000084,INVOICING (O/E),MENUTREE_000199
C000086,Location Tran.,MENUTREE_000201
C000087,Internal Use,MENUTREE_000202
C000088,Product Defect,MENUTREE_000203
C000089,Inv. Adj.,MENUTREE_000204
C000091,After-Sales Service,MENUTREE_000206
C000092,Serial/Lot No.,MENUTREE_000208
C000093,Quality Control,MENUTREE_000209
C000094,Plan Mgmt,MENUTREE_000210
C000095,Sales,MENUTREE_000219
C000096,Purchases,MENUTREE_000220
C000097,Reports,MENUTREE_000225
C000098,Monthly Profit,MENUTREE_000226
C000099,Daily Profit,MENUTREE_000227
C000100,Register Expenses,MENUTREE_000229
C000101,Register Payments,MENUTREE_000230
C000102,Customs Clearance,MENUTREE_000231
C000103,Reports,MENUTREE_000233
C000106,Basic Information,MENUTREE_000253
C000107,Clock In/Out,MENUTREE_000260
C000111,Company Info Modification,MENUTREE_000272
C000113,Function Setup,MENUTREE_000274
C000114,User Setup,MENUTREE_000275
C000115,Others,MENUTREE_000276
C000120,Shipping Order,MENUTREE_000658
C000125,Receivable Management,MENUTREE_000684
C000126,Payable Management,MENUTREE_000689
C000127,Check Management,MENUTREE_000694
C000128,Received Check,MENUTREE_000734
C000129,Issued Check,MENUTREE_000735
C000131,Mgmt,MENUTREE_000748
C000132,Payroll,MENUTREE_000749
C000133,Time Mgmt,MENUTREE_000750
C000134,Setup,MENUTREE_000751
C000136,Manage Payroll,MENUTREE_000753
C000137,Reports,MENUTREE_000758
C000138,Shipping,MENUTREE_000774
C000140,Inv. II,MENUTREE_000783
C000646,RFQ,MENUTREE_001324
C000647,Financial Statements,MENUTREE_001353
C000648,Production/Outsourcing,MENUTREE_001365
C000649,Inv. Movement,MENUTREE_001366
C000650,Others,MENUTREE_001367
C000651,Order Mgmt,MENUTREE_001390
C000652,Export,MENUTREE_001395
C000653,Project Plan,MENUTREE_001426
C000654,Online Store Mgmt,MENUTREE_002571
C000655,Expenses,MENUTREE_001500
C000656,Setup,MENUTREE_001510
C000657,Cost List,MENUTREE_001520
C000658,Cost Status,MENUTREE_001530
C000659,Information,MENUTREE_001600
C000660,Configuration,MENUTREE_001601
C000661,Download,MENUTREE_001602
C000662,Communication Center,MENUTREE_001606
C000663,Communication Center,MENUTREE_001612
C000664,Setup,MENUTREE_002572
C000665,Order Mgmt,MENUTREE_002573
C000666,Contract,MENUTREE_001665
C000667,Invoicing,MENUTREE_001666
C000668,Contract,MENUTREE_001673
C000669,Estimated Invoice,MENUTREE_001677
C000685,Customer Portal,MENUTREE_001878
C000686,Webmail Settings,MENUTREE_001881
C000687,Inventory Balance,MENUTREE_001888
C000688,Repair Order,MENUTREE_001889
C000689,Register Repair,MENUTREE_001890
C000690,Reg. Serial/Lot No.,MENUTREE_001891
C000691,Inventory Adj. by Serial/Lot No.,MENUTREE_001892
C000692,Create Quality Insp. Request,MENUTREE_001893
C000693,Quality Inspection,MENUTREE_001894
C000694,Sales Forecast,MENUTREE_001895
C000698,Internal Management,MENUTREE_001899
C000699,Accounting Transaction List,MENUTREE_001905
C000700,Print Voucher,MENUTREE_001909
C000701,Setup,MENUTREE_001910
C000702,Time Mgmt,MENUTREE_001911
C000703,Note Receivable,MENUTREE_001918
C000704,Notes Payable,MENUTREE_001925
C000900,Security,MENUTREE_002952
C000904,WMS,MENUTREE_001959
C000905,Receipt Mgmt,MENUTREE_001967
C000906,Release Mgmt,MENUTREE_002464
C000910,Public Mail,MENUTREE_001980
C001001,HR,MENUTREE_002476
C001002,Assignment,MENUTREE_002477
C001003,HR Status,MENUTREE_002483
C001101,Day Laborer Payroll,MENUTREE_002489
C001102,Day Labor Setup,MENUTREE_002490
C001103,Day Labor Work Log,MENUTREE_002495
C001105,Manage Day Labor Payroll,MENUTREE_002500
C001122,Mapping Center,MENUTREE_002540
C001123,Survey,MENUTREE_002543
C001124,Default Setting,MENUTREE_002549
C001137,Bank Acct./Card,MENUTREE_002562
C001138,Security Setup,MENUTREE_002558
C001251,Process,MENUTREE_002703
C001252,Job,MENUTREE_002708
