tab_id,prgId,parent_context,tab_level,tab_label,default_active,fields_summary,sub_tabs,toolbar_in_tab,grid_columns,posting_effect,bluearm_target,audited,notes
module-inv1-setup,C000029,Inv. I module bar,L0,Setup,yes,Left setup menu (Item Customer/Vendor etc),,,,,/app/inventory,yes,
module-inv1-sales,C000029,Inv. I module bar,L0,Sales,no,Opens Sales List C000030 and sales left menu,,,,,/app/selling,yes,Breadth pass Jul 2026
module-inv1-purchases,C000029,Inv. I module bar,L0,Purchases,no,Opens Purchase List C000031 and purchase left menu,,,,,/app/buying,yes,Clicked — navigates to C000031
module-inv1-production,C000029,Inv. I module bar,L0,Production,no,Opens Goods Receipt List C000032,,,,,/app/job-costing,yes,Breadth pass Jul 2026
module-inv1-inv-mov,C000029,Inv. I module bar,L0,Inv. Mov.,no,Opens Location Tran. List C000033,,,,,/app/inventory/stock-movements,yes,Breadth pass Jul 2026
module-inv1-online,C000029,Inv. I module bar,L0,Online Store Mgmt,no,Opens Register Online Store C000654,,,,,—,yes,Breadth pass Jul 2026
module-inv1-reports,C000029,Inv. I module bar,L0,Reports,no,Opens Reports hub C000035,,,,,/app/reports,yes,Breadth pass Jul 2026
filter-default,C000029,Item List Option panel,L2,Default,yes,"Date ranges, item code/name, category, type, usage",,,,,/app/inventory/items,yes,
filter-item-info,C000029,Item List Option panel,L2,Item Information,no,"Groups 1-3, barcode, tax rates, QC, remark, dates, creators",,,,,/app/inventory/items,yes,
filter-qty,C000029,Item List Option panel,L2,Qty,no,"Safety stock per doc type, lead time, min PO qty, vendor, C-Portal min SO",,,,,/app/inventory/items,yes,
filter-price,C000029,Item List Option panel,L2,Price,no,"Purchase/Sale/VIP, Price B–J, O/E ranges",,,,,/app/inventory/price-lists,yes,
filter-cost,C000029,Item List Option panel,L2,Cost,no,"Std material/labor/expense/OE, OH weight, labor time",,,,,/app/inventory/items,yes,
filter-additional,C000029,Item List Option panel,L2,Additional Information,no,"Text add fields 1-6, Number add fields 1-10",,,,,/app/inventory/items/settings,yes,
filter-management,C000029,Item List Option panel,L2,Management,no,"Serial/lot, auto mfg slip, auto QC request flags",,,,,/app/inventory/serial-lot,yes,
form-default,C000029,Inline New/Edit form,L2,Default,yes,"Code, name, group1, spec modes, unit, category, inv qty mgmt, process, prices+tax",,,,,/app/inventory/items,yes,
form-item-info,C000029,Inline New/Edit form,L2,Item Information,no,"Edit panel: tax rates, barcode, keyword, sharing, image, QC, item groups 1-3, remark",,,,,/app/inventory/items,yes,Pass 7 edit 00002 — richer than Default tab
form-qty,C000029,Inline New/Edit form,L2,Qty,no,"Aux qty conversion ratio, Safety stock qty, Safety stock control per doc type (SO/Sales/GI/GR/Loc/Internal/Defect), Set by location, C-Portal min SO check/unit, Inventory qty enter, Lead time, Min purchase qty, Vendor",,,,,/app/inventory/items,yes,Pass 2 clicked
form-price,C000029,Inline New/Edit form,L2,Price,no,"Purchase/Sale/VIP + tax included (may duplicate Default)",,,,,/app/inventory/items,yes,
form-cost,C000029,Inline New/Edit form,L2,Cost,no,"O/E price, Std labor time, OH allocation weight, Std material/labor/expense/OE costs",,,,,/app/inventory/items,yes,Pass 2 clicked
form-additional,C000029,Inline New/Edit form,L2,Additional Information,no,"Text add fields 1-6, Number add fields 1-10",,,,,/app/inventory/items/settings,yes,Pass 2 clicked
form-management,C000029,Inline New/Edit form,L2,Management,no,"Serial/Lot mode (Default/Required/Optional/Do Not Use), Auto-create mfg slip (sales/loc trans), Auto-create QC (purchases/GR), Mgmt field, QC method",,,,,/app/inventory/serial-lot,yes,Pass 2 clicked
